CNPJ;Razao Social;Endereco;Telefone;Regime
00.268.891/0003;IVAN CARLOS CODONIO Fantasia: EMPORIO DO SORVETE;AVENIDA MINAS GERAIS, 360 , BAIRRO COROADOS;(41) 442-1572;SIMPLES NACIONAL
00.276.180/0001;TANIA APARECIDA DE QUADROS GOBETI - PIZZARIA;AVENIDA CURITIBA, 100 , BAIRRO CENTRO;"(41) 3606-9855
(41) 3660-5888";SIMPLES NACIONAL
00.313.252/0001;JANAINA FOLMANN DE PAULA RUA XV DE NOVEMBRO, 86 , BAIRRO CENTRO;;"(41) 3472-3427
i4";LUCRO PRESUMIDO
00.316.907/0001;NELSON KUNZ Fantasia: CHAPEACAO E PINTURA PALMA SOLA;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
00.350.953/0001;BR BRASIL GUARATUBA LTDA Fantasia: BIG ALIMENTOS GUARATUBA;AVENIDA SENGES, SN LOTE 00016 QUADRA0066,;"(41) 99123-7979 
b8";SIMPLES NACIONAL
00.498.826/0001;ESGOTEK COLETA DE RESIDUOS LTDA Fantasia: ESGOTEK;;(41) 3472-1105;SIMPLES NACIONAL
00.508.318/0001;COMERCIO DE MOVEIS PARIS RUSTICOS LTDA Fantasia: PARIS MOVEIS RUSTICOS E DECORACOES;AVENIDA VIEIRA DOS SANTOS, 509 , BAIRRO;"(41) 3442-6669
parismoveis509";SIMPLES NACIONAL
00.596.849/0002;MVA CURSOS E TREINAMENTOS LTDA RUA ALMIRANTE TAMANDARE, 93 , BAIRRO CENTRO;;(41) 99263-3878;SIMPLES NACIONAL
00.615.374/0001;ARQUIPLEJ PLANEJAMENTO E PROJETOS ARQUITETONICOS LTDA;AVENIDA PONTA GROSSA, 773 SALA 02, BAIRRO;(41) 99646-5583;SIMPLES NACIONAL
00.721.858/0002;SUPREMO INDUSTRIA E COMERCIO DE CAFE LTDA;;"(41) 3472-3557
(43) 99996-7053";SIMPLES NACIONAL
00.737.529/0001;CJA SISTEMAS DE SEGURANCA LTDA AVENIDA DAMIAO BOTELHO DE SOUZA, 522 CONJ;AVENIDA DAMIAO BOTELHO DE SOUZA, 522 CONJ;(41) 3442-1572;SIMPLES NACIONAL
00.834.080/0001;COMPMIL MADEIRAS E FERRAGENS LTDA AVENIDA PARANA, 2337 , BAIRRO FIGUEIRA;AVENIDA PARANA, 2337 , BAIRRO FIGUEIRA;"(41) 3442-1281
(41) 99944-6670";SIMPLES NACIONAL
00.860.581/0001;PANIFICADORA E CONFEITARIA DOCE CANTO LTDA;AVENIDA MINAS GERAIS, 371 SALA B E C, BAIRRO;(47) 3434-1572;SIMPLES NACIONAL
00.875.594/0001;RCS PESCADOS LTDA AVENIDA GUARATUBA, 744 , BAIRRO PICARRAS;AVENIDA GUARATUBA, 744 , BAIRRO PICARRAS;(41) 3442-1158;PRESUMIDO OU LUCRO REAL
00.994.513/0001;AGUATEC SERVICOS E ASSISTENCIA TECNICA EM AGUAS LTDA;;"(41) 98490-1885 
vovolivia9";PRESUMIDO OU LUCRO REAL
00.996.811/0003;LAVANDER- LAVANDERIA AUTOMATICA LTDA. Fantasia: LAVANDER;AVENIDA AVENIDA VINTE E NOVE DE ABRIL, 623;(41) 3472-2261;SIMPLES NACIONAL
01.167.735/0001;LOURIVAL PEREIRA DA SILVA Fantasia: S.O.S SANTA TEREZINHA;;(041) 284-3931;PRESUMIDO OU LUCRO REAL
01.296.660/0001;ADRIANO ZELAK Fantasia: CICLO VITAO;;(41) 3442-1058;SIMPLES NACIONAL
01.301.615/0002;REALISUL COMERCIO DE ALIMENTOS SUL LTDA;;(41) 3029-1272;SIMPLES NACIONAL
01.341.737/0003;TAMANINI & CAMPOS LTDA Fantasia: PARQUE ALDEIA TEMATICA DE;;(42) 3623-2983;SIMPLES NACIONAL
01.435.416/0003;HWD ADMINISTRADORA DE BENS LTDA. RUA VICENTE MARQUES, 129 , BAIRRO BREJATIBA;;(41) 3376-2026;LUCRO PRESUMIDO
01.496.632/0002;REFRIGERACAO ARAUJO LTDA Fantasia: REFRIGAS;AVENIDA DAMIAO BOTELHO DE SOUZA, 1625 ,;(041) 472-1100;PRESUMIDO OU LUCRO REAL
01.591.376/0001;SIMONE GLACI RAMOS & CIA LTDA. Fantasia: GRUPO SIGLA;;(41) 98408-3635;SIMPLES NACIONAL
